Comunidades;General;Índices ;Periodo;Total
Nacional;General;Media anual;2022;141,675
01 Andalucía;General;Media anual;2022;136,786
02 Aragón;General;Media anual;2022;131,96
03 Asturias, Principado de;General;Media anual;2022;126,182
04 Balears, Illes;General;Media anual;2022;157,034
05 Canarias;General;Media anual;2022;137,24
06 Cantabria;General;Media anual;2022;136,343
07 Castilla y León;General;Media anual;2022;125,987
08 Castilla - La Mancha;General;Media anual;2022;118,284
09 Cataluña;General;Media anual;2022;151,701
10 Comunitat Valenciana;General;Media anual;2022;130,636
11 Extremadura;General;Media anual;2022;114,612
12 Galicia;General;Media anual;2022;127,685
13 Madrid, Comunidad de;General;Media anual;2022;157,232
14 Murcia, Región de;General;Media anual;2022;129,515
15 Navarra, Comunidad Foral de;General;Media anual;2022;125,153
16 País Vasco;General;Media anual;2022;131,765
17 Rioja, La;General;Media anual;2022;130,006
18 Ceuta;General;Media anual;2022;154,237
19 Melilla;General;Media anual;2022;151,476
