indicadores,grupos_coicop_nombre,provincias_nombre,periodos_id,IPC
Índices,General,España,2002M01,76.83
Índices,General,España,2003M01,79.68
Índices,General,España,2004M01,81.51
Índices,General,España,2005M01,84.02
Índices,General,España,2006M01,87.55
Índices,General,España,2007M01,89.64
Índices,General,España,2008M01,93.48
Índices,General,España,2009M01,94.23
Índices,General,España,2010M01,95.2
Índices,General,España,2011M01,98.31
Índices,General,España,2012M01,100.28
Índices,General,España,2013M01,102.97
Índices,General,España,2014M01,103.17
Índices,General,España,2015M01,101.81
Índices,General,España,2016M01,101.52
Índices,General,Albacete,2002M01,76.09
Índices,General,Albacete,2003M01,78.92
Índices,General,Albacete,2004M01,80.35
Índices,General,Albacete,2005M01,83.25
Índices,General,Albacete,2006M01,87.46
Índices,General,Albacete,2007M01,89.2
Índices,General,Albacete,2008M01,93.67
Índices,General,Albacete,2009M01,94.03
Índices,General,Albacete,2010M01,95.18
Índices,General,Albacete,2011M01,98.42
Índices,General,Albacete,2012M01,100.28
Índices,General,Albacete,2013M01,102.67
Índices,General,Albacete,2014M01,102.99
Índices,General,Albacete,2015M01,101.01
Índices,General,Albacete,2016M01,100.47
Índices,General,Alicante/Alacant,2002M01,77.54
Índices,General,Alicante/Alacant,2003M01,80.4
Índices,General,Alicante/Alacant,2004M01,81.96
Índices,General,Alicante/Alacant,2005M01,84.59
Índices,General,Alicante/Alacant,2006M01,88.11
Índices,General,Alicante/Alacant,2007M01,90.23
Índices,General,Alicante/Alacant,2008M01,93.82
Índices,General,Alicante/Alacant,2009M01,94.59
Índices,General,Alicante/Alacant,2010M01,95.28
Índices,General,Alicante/Alacant,2011M01,98.34
Índices,General,Alicante/Alacant,2012M01,100.11
Índices,General,Alicante/Alacant,2013M01,102.47
Índices,General,Alicante/Alacant,2014M01,102.6
Índices,General,Alicante/Alacant,2015M01,101.11
Índices,General,Alicante/Alacant,2016M01,100.6
Índices,General,Almería,2002M01,76.57
Índices,General,Almería,2003M01,79.58
Índices,General,Almería,2004M01,81.59
Índices,General,Almería,2005M01,84.44
Índices,General,Almería,2006M01,87.99
Índices,General,Almería,2007M01,90.05
Índices,General,Almería,2008M01,94.32
Índices,General,Almería,2009M01,94.35
Índices,General,Almería,2010M01,95.18
Índices,General,Almería,2011M01,98.36
Índices,General,Almería,2012M01,99.84
Índices,General,Almería,2013M01,102.3
Índices,General,Almería,2014M01,102.35
Índices,General,Almería,2015M01,100.68
Índices,General,Almería,2016M01,100.06
Índices,General,Araba/Álava,2002M01,75.72
Índices,General,Araba/Álava,2003M01,78.4
Índices,General,Araba/Álava,2004M01,80.33
Índices,General,Araba/Álava,2005M01,82.86
Índices,General,Araba/Álava,2006M01,86.75
Índices,General,Araba/Álava,2007M01,89.11
Índices,General,Araba/Álava,2008M01,93.2
Índices,General,Araba/Álava,2009M01,94.28
Índices,General,Araba/Álava,2010M01,95.09
Índices,General,Araba/Álava,2011M01,98.27
Índices,General,Araba/Álava,2012M01,100.07
Índices,General,Araba/Álava,2013M01,102.21
