regimen_tenencia;periodo;Total
Propia por compra, totalmente pagada, heredada o donada;2020;9.189,50
Propia por compra, totalmente pagada, heredada o donada;2019;9.140,70
Propia por compra, totalmente pagada, heredada o donada;2018;9.057,70
Propia por compra, totalmente pagada, heredada o donada;2017;8.989,60
Propia por compra, totalmente pagada, heredada o donada;2016;8.973,80
Propia por compra, totalmente pagada, heredada o donada;2015;8.944,40
Propia por compra, totalmente pagada, heredada o donada;2014;8.896,20
Propia con pagos pendientes;2020;5.105,50
Propia con pagos pendientes;2019;5.069,00
Propia con pagos pendientes;2018;5.146,50
Propia con pagos pendientes;2017;5.235,20
Propia con pagos pendientes;2016;5.250,70
Propia con pagos pendientes;2015;5.296,50
Propia con pagos pendientes;2014;5.437,20
Cedidas gratis o bajo precio por otro hogar, la empresa...;2020;1.072,60
Cedidas gratis o bajo precio por otro hogar, la empresa...;2019;1.034,10
Cedidas gratis o bajo precio por otro hogar, la empresa...;2018;994,8
Cedidas gratis o bajo precio por otro hogar, la empresa...;2017;957,9
Cedidas gratis o bajo precio por otro hogar, la empresa...;2016;959,4
Cedidas gratis o bajo precio por otro hogar, la empresa...;2015;972,1
Cedidas gratis o bajo precio por otro hogar, la empresa...;2014;939,7
Alquilada;2020;3.322,30
Alquilada;2019;3.336,30
Alquilada;2018;3.304,50
Alquilada;2017;3.258,70
Alquilada;2016;3.194,90
Alquilada;2015;3.115,30
Alquilada;2014;2.979,70
