Año;Periodo;Parámetro;Cuantia_media
2018;Año;A Coruña;426
2018;Año;Alicante;525
2018;Año;Almería;421
2018;Año;Baleares;687
2018;Año;Barcelona;769
2018;Año;Bizkaia;652
2018;Año;Burgos;461
2018;Año;Cádiz;479
2018;Año;Castellón;447
2018;Año;Ceuta;629
2018;Año;Córdoba;452
2018;Año;Gipuzkoa;730
2018;Año;Girona;514
2018;Año;Granada;459
2018;Año;Huelva;401
2018;Año;Huesca;399
2018;Año;Jaén;385
2018;Año;León;398
2018;Año;Lleida;384
2018;Año;Lugo;336
2018;Año;Madrid;819
2018;Año;Málaga;615
2018;Año;Melilla;550
2018;Año;Ourense;384
2018;Año;Palencia;403
2018;Año;Pontevedra;439
2018;Año;Salamanca;463
2018;Año;Santa Cruz de Tenerife;484
2018;Año;Segovia;491
2018;Año;Sevilla;456
2018;Año;Soria;409
2018;Año;Tarragona;459
2018;Año;Teruel;376
2018;Año;Valencia;556
2018;Año;Valladolid;459
2018;Año;Zaragoza;467
