DATAFLOW,LAST UPDATE,freq,incgrp,hhtyp,tenure,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ILC_LVHO02(1.0),01/12/23 23:00:00,A,TOTAL,TOTAL,OWN_L,PC,AL,2018,0.6,
ESTAT:ILC_LVHO02(1.0),01/12/23 23:00:00,A,TOTAL,TOTAL,OWN_L,PC,AT,2018,25.5,
ESTAT:ILC_LVHO02(1.0),01/12/23 23:00:00,A,TOTAL,TOTAL,OWN_L,PC,BE,2018,43.4,
ESTAT:ILC_LVHO02(1.0),01/12/23 23:00:00,A,TOTAL,TOTAL,OWN_L,PC,BG,2018,2.7,
ESTAT:ILC_LVHO02(1.0),01/12/23 23:00:00,A,TOTAL,TOTAL,OWN_L,PC,CH,2018,38.3,
ESTAT:ILC_LVHO02(1.0),01/12/23 23:00:00,A,TOTAL,TOTAL,OWN_L,PC,CY,2018,19.3,
ESTAT:ILC_LVHO02(1.0),01/12/23 23:00:00,A,TOTAL,TOTAL,OWN_L,PC,CZ,2018,21.0,
ESTAT:ILC_LVHO02(1.0),01/12/23 23:00:00,A,TOTAL,TOTAL,OWN_L,PC,DE,2018,25.6,
ESTAT:ILC_LVHO02(1.0),01/12/23 23:00:00,A,TOTAL,TOTAL,OWN_L,PC,DK,2018,46.5,
ESTAT:ILC_LVHO02(1.0),01/12/23 23:00:00,A,TOTAL,TOTAL,OWN_L,PC,EA20,2018,27.2,
ESTAT:ILC_LVHO02(1.0),01/12/23 23:00:00,A,TOTAL,TOTAL,OWN_L,PC,EE,2018,21.7,
ESTAT:ILC_LVHO02(1.0),01/12/23 23:00:00,A,TOTAL,TOTAL,OWN_L,PC,EL,2018,14.2,
ESTAT:ILC_LVHO02(1.0),01/12/23 23:00:00,A,TOTAL,TOTAL,OWN_L,PC,ES,2018,29.4,
ESTAT:ILC_LVHO02(1.0),01/12/23 23:00:00,A,TOTAL,TOTAL,OWN_L,PC,FI,2018,42.0,
ESTAT:ILC_LVHO02(1.0),01/12/23 23:00:00,A,TOTAL,TOTAL,OWN_L,PC,FR,2018,31.8,
